time (s)	det(V)
1928.637688	1.600955	
1928.639687	1.600959	
1928.641687	1.600973	
1928.643687	1.600980	
1928.645687	1.600959	
1928.647687	1.600899	
1928.649687	1.600978	
1928.651686	1.600983	
1928.655687	1.600965	
1928.657687	1.600990	
1928.659687	1.600984	
1928.661687	1.600969	
1928.663686	1.600999	
1928.665686	1.601011	
1928.669686	1.600999	
1928.671686	1.600957	
1928.673687	1.600920	
1928.677692	1.600971	
1928.679687	1.601003	
1928.681687	1.600981	
1928.683687	1.600989	
1928.685687	1.600973	
1928.687687	1.600949	
1928.691687	1.600968	
1928.695687	1.600960	
1928.697687	1.600977	
1928.699686	1.600942	
1928.701687	1.600953	
1928.703687	1.600950	
1928.707686	1.600973	
1928.709687	1.600960	
1928.711686	1.600946	
1928.713687	1.600950	
1928.715688	1.600923	
1928.717687	1.600957	
1928.719686	1.600988	
1928.721687	1.600980	
1928.723687	1.600902	
1928.725687	1.600987	
1928.727687	1.600958	
1928.729687	1.600940	
1928.731686	1.600913	
1928.735687	1.600917	
1928.737687	1.600876	
1928.739687	1.600822	
1928.741687	1.599505	
1928.743687	1.552697	
1928.747686	1.479570	
1928.749686	1.346413	
1928.751687	1.284691	
1928.755687	1.231966	
1928.757688	1.133780	
1928.759686	1.080287	
1928.761687	1.023019	
1928.763687	0.981510	
1928.765687	0.924892	
1928.769687	0.875456	
1928.773687	0.787379	
1928.775689	0.720678	
1928.777687	0.676628	
1928.779687	0.645959	
1928.781687	0.610556	
1928.785686	0.575900	
1928.787687	0.510011	
1928.789686	0.479847	
1928.791687	0.457085	
1928.793687	0.433322	
1928.795687	0.411751	
1928.797687	0.395727	
1928.799687	0.370093	
1928.801687	0.349562	
1928.803687	0.334316	
1928.805687	0.300970	
1928.807687	0.289025	
1928.811687	0.271235	
1928.813687	0.243623	
1928.815687	0.223467	
1928.817687	0.211129	
1928.819686	0.204529	
1928.821687	0.182498	
1928.825686	0.175615	
1928.827687	0.142465	
1928.829687	0.136998	
1928.833687	0.127630	
1928.835687	0.114346	
1928.837686	0.106687	
1928.839686	0.095065	
1928.841686	0.093673	
1928.843687	0.086228	
1928.847687	0.072874	
1928.851687	0.055743	
1928.853687	0.054720	
1928.855686	0.045989	
1928.857688	0.048746	
1928.859687	0.042855	
1928.863686	0.035812	
1928.865687	0.020054	
1928.867687	0.013985	
1928.869687	0.020290	
1928.871688	0.013228	
1928.873687	0.018590	
1928.875687	0.018824	
1928.877687	0.010364	
1928.879687	0.011282	
1928.881687	0.011058	
1928.883687	-0.001448	
1928.885687	-0.001756	
1928.889686	-0.005352	
1928.891687	-0.004207	
1928.893687	-0.002629	
1928.895687	-0.005914	
1928.897687	-0.002716	
1928.899687	-0.009082	
1928.903686	-0.007162	
1928.905687	-0.020978	
1928.907687	-0.012296	
1928.911687	-0.015602	
1928.913687	-0.004647	
1928.915687	-0.014272	
1928.917687	-0.017220	
1928.919687	-0.010566	
1928.921688	-0.018866	
1928.925689	-0.018727	
1928.929687	-0.022945	
1928.931687	-0.014180	
1928.933687	-0.018919	
1928.935686	-0.014102	
1928.937686	-0.018076	
1928.941686	-0.020006	
1928.943687	-0.024558	
1928.945687	-0.026621	
1928.947687	-0.022563	
1928.949688	-0.024507	
1928.951688	-0.021528	
1928.953692	-0.015968	
1928.955688	-0.023240	
1928.957687	-0.016918	
1928.959687	-0.016926	
1928.961687	-0.026171	
1928.963687	-0.019359	
1928.965688	-0.030431	
1928.969688	-0.030648	
1928.971687	-0.023764	
1928.973687	-0.016506	
1928.975687	-0.014482	
1928.977687	-0.023962	
1928.981686	-0.017993	
1928.983687	-0.028546	
1928.985687	-0.023034	
1928.989687	-0.025605	
1928.991688	-0.014271	
1928.993687	-0.015613	
1928.995687	-0.018531	
1928.997687	-0.013189	
1928.999687	-0.018113	
1929.003686	-0.022247	
1929.007687	-0.027426	
1929.009688	-0.013787	
1929.011686	-0.014021	
1929.013686	-0.007432	
1929.015686	-0.018420	
1929.019686	-0.016154	
1929.021686	-0.024552	
1929.023687	-0.016723	
1929.025688	-0.014099	
1929.027687	-0.018688	
1929.029687	-0.008850	
1929.031686	-0.007345	
1929.033687	-0.012731	
1929.035687	-0.008166	
1929.037687	-0.006986	
1929.039687	-0.015491	
1929.041689	-0.011147	
1929.045687	-0.015305	
1929.047687	-0.006516	
1929.049687	-0.009357	
1929.051687	-0.006749	
1929.053687	-0.002061	
