crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.342903	1319	0.000000
281474976710655.000000	6.927649	1320	0.000000
281474976710655.000000	6.758254	1321	0.000000
281474976710655.000000	6.136445	1322	0.000000
281474976710655.000000	7.945910	1323	0.000000
281474976710655.000000	6.203104	1324	0.000000
281474976710655.000000	9.010508	1325	0.000000
281474976710655.000000	7.064156	1326	0.000000
281474976710655.000000	9.049879	1327	0.000000
281474976710655.000000	7.998701	1328	0.000000
281474976710655.000000	8.154339	1329	0.000000
281474976710655.000000	8.203544	1330	0.000000
281474976710655.000000	7.541491	1331	0.000000
281474976710655.000000	7.516294	1332	0.000000
281474976710655.000000	7.756259	1333	0.000000
281474976710655.000000	7.797878	1334	0.000000
281474976710655.000000	7.144855	1335	0.000000
281474976710655.000000	7.060483	1336	0.000000
281474976710655.000000	7.410744	1337	0.000000
281474976710655.000000	6.577315	1338	0.000000
281474976710655.000000	8.254885	1339	0.000000
281474976710655.000000	6.894541	1340	0.000000
281474976710655.000000	8.670588	1341	0.000000
281474976710655.000000	7.494926	1342	0.000000
281474976710655.000000	8.089836	1343	0.000000
281474976710655.000000	7.196871	1344	0.000000
281474976710655.000000	8.761477	1345	0.000000
281474976710655.000000	7.416630	1346	0.000000
281474976710655.000000	8.716430	1347	0.000000
281474976710655.000000	6.939306	1348	0.000000
281474976710655.000000	8.767472	1349	0.000000
281474976710655.000000	6.358774	1350	0.000000
281474976710655.000000	9.479536	1351	0.000000
281474976710655.000000	6.407220	1352	0.000000
281474976710655.000000	10.288952	1353	0.000000
281474976710655.000000	7.337125	1354	0.000000
281474976710655.000000	9.578324	1355	0.000000
281474976710655.000000	7.280967	1356	0.000000
281474976710655.000000	9.095016	1357	0.000000
281474976710655.000000	6.979209	1358	0.000000
281474976710655.000000	9.602321	1359	0.000000
281474976710655.000000	7.596813	1360	0.000000
281474976710655.000000	9.272614	1361	0.000000
281474976710655.000000	7.535560	1362	0.000000
281474976710655.000000	9.519666	1363	0.000000
281474976710655.000000	8.169744	1364	0.000000
281474976710655.000000	9.551379	1365	0.000000
281474976710655.000000	8.536524	1366	0.000000
281474976710655.000000	9.003825	1367	0.000000
281474976710655.000000	8.647431	1368	0.000000
281474976710655.000000	8.650012	1369	0.000000
281474976710655.000000	8.454488	1370	0.000000
281474976710655.000000	8.560589	1371	0.000000
281474976710655.000000	8.134912	1372	0.000000
281474976710655.000000	8.543713	1373	0.000000
281474976710655.000000	7.686648	1374	0.000000
281474976710655.000000	9.282171	1375	0.000000
281474976710655.000000	7.808251	1376	0.000000
281474976710655.000000	9.614957	1377	0.000000
281474976710655.000000	7.707235	1378	0.000000
281474976710655.000000	10.306872	1379	0.000000
281474976710655.000000	8.060743	1380	0.000000
281474976710655.000000	9.941436	1381	0.000000
