num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2567	9740.560761	83.329630	1.893264	-0.596084	24.836829
2569	9742.632436	83.278180	1.954495	-0.597091	23.500434
2571	9744.704266	83.106210	2.035590	-0.597627	23.162428
2575	9748.847523	82.668870	2.187318	-0.596801	23.592909
2577	9750.919164	82.696989	2.253056	-0.597811	23.302797
2579	9752.990262	82.447845	2.342712	-0.598235	23.973755
2583	9757.133091	82.298783	2.414588	-0.596305	22.925583
2585	9759.204429	82.232569	2.449069	-0.595654	22.893765
2587	9761.275086	82.076469	2.514879	-0.595318	23.327904
2589	9763.345197	81.932842	2.540019	-0.594572	23.967880
2593	9767.487321	81.644896	2.631552	-0.590633	22.737484
2595	9769.559292	81.528984	2.738685	-0.591075	24.089988
2597	9771.631593	81.403183	2.859082	-0.591120	22.423072
2599	9773.703972	81.337942	2.942648	-0.592082	23.674058
2603	9777.848827	80.966988	3.039971	-0.591928	22.163416
2605	9779.920871	80.993033	3.134555	-0.592499	22.131936
2607	9781.992536	80.939450	3.161440	-0.592035	23.039952
2611	9786.135942	80.716597	3.302431	-0.589722	22.888680
2613	9788.207529	80.643721	3.366268	-0.589735	22.830729
2615	9790.278675	80.603204	3.454110	-0.588499	22.680049
2619	9794.421555	80.288962	3.538366	-0.588350	22.030774
2621	9796.493273	80.199694	3.647248	-0.587821	21.451935
2623	9798.564129	80.120793	3.688120	-0.586862	21.627465
2627	9802.705493	79.756456	3.703768	-0.584874	22.167792
2629	9804.775901	79.766580	3.778625	-0.585140	21.661383
2631	9806.847134	79.422690	3.838989	-0.585607	22.228588
2633	9808.918616	79.345672	3.868641	-0.586032	21.296549
2635	9810.990719	79.207542	3.902784	-0.585815	21.886317
2637	9813.062993	79.131424	4.024086	-0.583625	21.407150
2639	9815.135370	78.976526	4.041957	-0.583239	21.001643
2641	9817.207888	78.722278	4.121963	-0.582659	20.964924
2643	9819.279864	78.967490	4.236581	-0.581268	21.364560
2645	9821.351666	78.856968	4.323061	-0.581375	21.339517
2647	9823.423589	78.768229	4.390190	-0.581248	20.827306
2649	9825.495122	78.709149	4.440571	-0.580670	21.080069
2653	9829.638009	78.318257	4.531996	-0.579953	20.904926
2655	9831.709259	78.371289	4.607939	-0.580126	21.369841
2657	9833.780496	78.201054	4.639463	-0.579551	20.634001
2661	9837.921838	77.896215	4.695605	-0.577384	20.956212
2663	9839.992973	77.797332	4.740553	-0.576269	20.231688
2665	9842.063551	77.597116	4.746901	-0.575561	20.501186
2667	9844.133871	77.684866	4.801106	-0.573646	21.200167
2669	9846.205391	77.426379	4.861643	-0.571491	21.081343
2671	9848.277198	77.343733	4.934984	-0.570007	20.436836
2673	9850.349259	77.089298	4.973641	-0.569194	20.203536
2675	9852.421145	77.014112	5.051657	-0.569761	21.010661
2677	9854.494091	77.022542	5.210152	-0.570050	20.284254
2679	9856.566254	76.895036	5.295041	-0.570445	20.168445
2683	9860.709815	76.738984	5.330254	-0.568777	20.081187
2685	9862.781625	76.783308	5.479545	-0.569364	20.367794
2687	9864.852711	76.629822	5.542161	-0.568240	20.524600
2691	9868.996403	76.402404	5.641065	-0.566123	19.908182
2693	9871.067641	76.448211	5.753023	-0.565525	19.409427
2695	9873.138843	76.240151	5.772145	-0.564877	19.521830
2699	9877.281157	76.039577	5.872316	-0.563146	19.788081
2701	9879.351551	75.928910	5.931624	-0.563016	19.720093
2703	9881.422267	75.675722	5.971087	-0.561674	19.583035
2707	9885.564349	75.610338	5.985768	-0.560503	19.405873
2709	9887.634896	75.423126	6.027525	-0.560819	19.251296
2711	9889.706582	75.314573	6.039253	-0.560944	18.744777
2713	9891.778770	75.166669	6.105661	-0.560367	20.060139
2715	9893.850816	74.928788	6.132765	-0.558661	19.321417
2717	9895.922762	74.894050	6.214246	-0.557401	19.131626
2719	9897.995026	74.865058	6.280908	-0.556185	19.265893
2721	9900.067403	74.831184	6.352681	-0.554815	19.205610
2723	9902.138879	74.771138	6.427825	-0.554064	18.954146
2725	9904.211027	74.732813	6.504947	-0.553337	19.085460
2727	9906.282749	74.537786	6.546879	-0.552342	19.259720
2731	9910.425531	74.310494	6.544034	-0.550342	18.918056
2733	9912.496904	74.146782	6.681533	-0.550311	19.015313
2735	9914.567461	74.136583	6.732611	-0.549454	19.152490
2737	9916.638110	74.022909	6.758527	-0.549058	18.994889
2741	9920.780202	73.839996	6.781210	-0.547221	18.884811
2743	9922.850587	73.756253	6.821536	-0.546060	19.211477
2745	9924.921323	73.486251	6.803927	-0.543677	18.122026
2747	9926.992393	73.453509	6.887728	-0.542951	18.736210
2749	9929.063998	73.403281	6.984367	-0.540473	18.018231
2751	9931.135744	73.176804	7.038781	-0.539540	18.136981
2753	9933.207914	73.161543	7.160221	-0.537912	17.620307
2755	9935.280305	73.032653	7.258151	-0.538136	18.290416
2759	9939.424278	72.788658	7.342700	-0.536900	17.854868
2761	9941.495987	72.792847	7.468413	-0.535925	17.700521
2763	9943.567850	72.725948	7.522810	-0.535094	18.004449
2767	9947.710643	72.492227	7.555366	-0.532821	17.889413
2769	9949.782326	72.378474	7.776534	-0.531978	17.909230
2771	9951.853842	72.385800	7.734347	-0.531072	17.634855
2775	9955.996170	72.151447	7.802734	-0.527793	17.788967
2777	9958.066219	72.075020	7.848497	-0.527559	18.031552
2779	9960.137813	71.912508	7.865902	-0.526728	17.255637
2781	9962.208622	71.811167	7.901368	-0.525423	18.309513
2785	9966.350393	71.649673	7.907064	-0.524184	17.689138
2787	9968.422144	71.540430	7.931809	-0.524051	17.115896
2789	9970.493326	71.424562	7.967476	-0.523836	17.543584
2791	9972.565088	71.356181	8.004499	-0.523367	17.412483
2793	9974.636898	71.216602	8.053671	-0.521941	17.159703
2795	9976.709004	71.139705	8.090261	-0.520631	17.840398
2797	9978.781256	71.028566	8.130052	-0.518011	17.004779
2799	9980.853012	70.931274	8.207104	-0.517318	17.264945
2801	9982.925017	70.842327	8.263222	-0.516035	17.132331
2803	9984.996426	70.717081	8.281673	-0.515505	17.751442
2805	9987.068311	70.674070	8.333069	-0.513475	17.097877
2807	9989.139618	70.586468	8.375934	-0.512238	16.809698
2809	9991.211295	70.503490	8.421042	-0.511653	16.793177
2811	9993.282487	70.375556	8.468970	-0.510728	17.123964
2813	9995.353458	70.386485	8.493883	-0.510342	16.736380
2815	9997.424303	70.282412	8.520736	-0.509125	16.975724
2817	9999.495581	70.225319	8.545059	-0.508549	17.187792
2819	10001.566264	70.144944	8.559925	-0.507888	16.471426
2821	10003.636835	70.047600	8.591845	-0.506553	16.530346
2823	10005.707865	69.884171	8.601852	-0.505637	16.707510
2825	10007.778983	69.868998	8.641361	-0.502764	16.457252
2827	10009.849703	69.725290	8.693668	-0.501051	16.578957
2829	10011.920952	69.640858	8.750257	-0.498683	16.051642
2831	10013.992816	69.519858	8.850986	-0.496834	16.810088
2833	10016.064844	69.407532	8.924683	-0.496032	16.664660
2835	10018.136300	69.276358	8.997685	-0.494366	16.866279
2839	10022.280734	68.992291	9.083772	-0.493164	15.844022
2841	10024.351857	68.964558	9.152726	-0.490805	16.279554
2843	10026.423812	68.855478	9.277000	-0.490942	15.892667
2847	10030.566707	68.660042	9.315716	-0.487599	16.093150
2849	10032.637898	68.627327	9.374311	-0.486796	15.894407
2851	10034.709332	68.576047	9.420236	-0.485997	15.877525
2853	10036.779976	68.464286	9.423392	-0.484876	16.065440
2855	10038.851290	68.393875	9.424837	-0.483512	15.882738
2857	10040.921965	68.327252	9.474741	-0.482716	16.381460
2859	10042.993296	68.210471	9.497551	-0.482524	15.628771
2863	10047.134643	68.001396	9.450086	-0.480557	15.977219
2865	10049.206483	68.072819	9.508238	-0.480771	15.369820
2867	10051.277962	67.893236	9.529510	-0.480798	15.908962
2869	10053.349587	67.828564	9.566226	-0.479566	15.824060
2871	10055.421072	67.764564	9.584439	-0.478534	15.956815
2873	10057.493511	67.661915	9.616704	-0.477032	15.459970
2875	10059.565348	67.474825	9.659007	-0.474341	16.094009
2877	10061.637163	67.424636	9.706318	-0.472826	15.375772
2879	10063.709199	67.354366	9.751189	-0.471286	15.187151
2881	10065.780731	67.296541	9.793455	-0.469577	15.256054
2885	10069.923562	67.078881	9.854189	-0.469121	14.878785
2887	10071.994145	67.073714	9.915169	-0.466552	15.311814
2889	10074.065719	67.013640	9.945046	-0.465207	15.436292
2891	10076.136961	67.111534	9.990013	-0.463907	15.385486
2893	10078.207394	66.815364	10.009692	-0.463147	14.998094
2895	10080.278416	66.778758	10.018607	-0.461845	15.195614
